Organisation Name,Section,Costs (Higher),Financial year: End Date
World Shipping Council (WSC),II - In-house lobbyists and trade/business/professional associations,199999,01/08/2017
Sustainability Consulting (SUST4IN),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Europe External Programme with Africa (EEPA),III - Non-governmental organisations,49999,01/12/2016
ACI WORLDWIDE,II - In-house lobbyists and trade/business/professional associations,48000,01/12/2017
DVKG Deutsche Visa uns Konsular Gesellschaft mbH (DVKG),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
International Association of Art (IAA) Europe (IAA Europe),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
The LHoFT Fondation (LHoFT),II - In-house lobbyists and trade/business/professional associations, -   ,
Canadian Global Humanitatian Services,III - Non-governmental organisations, -   ,
Fabrizio Protti,I - Professional consultancies/law firms/self-employed consultants,60000,01/12/2017
Union of Greek Shipowners - ______ _______ __________ (UGS),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
ATLANTE SRL (ATLANTE),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
FAIR and GREEN e.V. (FNG),III - Non-governmental organisations,24999,01/12/2016
Pagita,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Unione Forestali Carabinieri e Diritti (UNFORCED),III - Non-governmental organisations, -   ,
Asociaci„n de Ingenieros Navales y Oceˆnicos de Espa_a (AINE),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
The Society of Motor Manufacturers and Traders Ltd. (SMMT),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
CONFLAVORO PMI,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Biobased Industries Organisation (BIC),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Eindhoven University of Technology (TU/e),"IV - Think tanks, research and academic institutions",200000,01/12/2016
Associaç†o das Empresas Familiares - The Portuguese Family Business Association (EFs),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
_____________ ____________ ____,III - Non-governmental organisations,9999,01/12/2017
CERCLE D'ECONOMIA (CE),"IV - Think tanks, research and academic institutions",49999,01/12/2017
Instituut Natuur- en Bosonderzoek/Research Institute for Nature and Forest (INBO),"IV - Think tanks, research and academic institutions",9999,01/12/2017
SC LEGAL CONSULTING (SC LEGAL),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2017
Federation of Irish Beekeepers Associations (FIBKA),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",281938,01/12/2016
HUMAN RIGHT FORUM,III - Non-governmental organisations, -   ,
Lotras,II - In-house lobbyists and trade/business/professional associations,5000,01/12/2017
OXON Italia SpA (OXON),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
PANCYPRIAN FEDERATION OF LABOUR (PEO),II - In-house lobbyists and trade/business/professional associations,40000,01/12/2016
EUTOP Europe GmbH (EUTOP),I - Professional consultancies/law firms/self-employed consultants,2749000,01/12/2017
Gavekal,I - Professional consultancies/law firms/self-employed consultants, -   ,01/12/2017
GfPS mbH (GfPS),II - In-house lobbyists and trade/business/professional associations,20000,01/12/2017
Asocia_ia Vii uitate,III - Non-governmental organisations, -   ,
LIMMAT M&M S.L (LIMMAT),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
ifa Akademie gGmbH (ifa Akademie),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.", -   ,
Environmental Justice Foundation (EJF),III - Non-governmental organisations,99999,01/12/2016
Renewables Grid Initiative e.V. (RGI),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2017
euRobotics aisbl (euRobotics),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
F_d_ration europ_enne des industries des aliments pour animaux familiers (FEDIAF),II - In-house lobbyists and trade/business/professional associations,700000,01/12/2017
Link_pings universitet (LiU),"IV - Think tanks, research and academic institutions",299999,01/12/2016
Bayerische B_rse AG (Bayerische B_rse),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
European Alliance for Georgia (EAFG),III - Non-governmental organisations, -   ,
Startup Europe Latin America Assembly (SELATAM),III - Non-governmental organisations, -   ,
Verein Reffnet.ch - Netzwerk Ressourceneffizienz Schweiz (Reffnet.ch),III - Non-governmental organisations,9999,01/12/2016
Box Inc. (Box),II - In-house lobbyists and trade/business/professional associations,24999,01/01/2017
Planet Without FrontiersÂ Institution (PWFI),"IV - Think tanks, research and academic institutions",499999,01/12/2016
Deutsche Gesellschaft fôr Abfallwirtschaft e. V. (DGAW),III - Non-governmental organisations,9999,01/12/2016
PJSC PhosAgro (PHOSAGRO),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Public Affairs Community of Europe (P.A.CE.),III - Non-governmental organisations, -   ,
Bundesvereinigung gegen Schienenl_rm (BVS),III - Non-governmental organisations,9999,01/09/2017
Consortium of the Research Project Smart Data Web (SDW),II - In-house lobbyists and trade/business/professional associations, -   ,
Marx Franz Peter (FPM),I - Professional consultancies/law firms/self-employed consultants,50000,01/07/2016
Universitat AutÖnoma de Barcelona (UAB),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Institute for Ethics,III - Non-governmental organisations,30000,01/12/2016
Think Beyond Plastic (TBP),III - Non-governmental organisations,299999,01/12/2016
Public Partners,I - Professional consultancies/law firms/self-employed consultants, -   ,
Advance Software Limited (ADV),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
Coompanion Sverige ekonomisk f_rening (Coompanion),III - Non-governmental organisations,10000,01/12/2016
YOUTH ORGANISATION ALEXIS PRILEP,III - Non-governmental organisations, -   ,
Movimento difesa del cittadino (MDC),III - Non-governmental organisations,199999,01/12/2016
World Marrow Donor Association (WMDA),III - Non-governmental organisations,9999,01/12/2016
Association Luxembourgeoise des Fonds d'Investissement (ALFI),II - In-house lobbyists and trade/business/professional associations,699999,01/12/2016
Verband der Auslandsbanken in Deutschland e.V. / Association of Foreign Banks in Germany (VAB),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
N-square Consulting (N-square),I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2016
European Logistics Association (ELA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Deutscher Verband der Riechstoff-Hersteller e. V. (DVRH),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Arbeitgebervereinigung fôr Unternehmen aus dem Bereich EDV und Kommunikationstechnologie e. V. (AGEV) (AGEV e. V.),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
bvse-Bundesverband Sekund_rrohstoffe und Entsorgung e.V. (bvse),II - In-house lobbyists and trade/business/professional associations,40000,01/12/2015
Vlaamse Radio- en Televisieomroeporganisatie (VRT),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",49999,01/12/2016
EUROSENIOR,III - Non-governmental organisations,9999,01/12/2015
Nederlandse Publieke Omroep (NPO),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Deutscher Speditions- und Logistikverband eV (DSLV),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
EUROPEAN COIL COATING ASSOCIATION (ECCA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Verband Beratender Ingenieure (VBI),II - In-house lobbyists and trade/business/professional associations,70000,01/07/2016
1955 (SYNAPSES),II - In-house lobbyists and trade/business/professional associations,3000,01/12/2016
CIMPOR - Indìstria de Cimentos (CIMPOR),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Publishers Council (EPC),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
Bundesverband der Deutschen Sportartikel-Industrie e.V. (BSI),II - In-house lobbyists and trade/business/professional associations,15000,01/12/2015
F_d_ration de la Plasturgie et des Composites (FPC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Bundesverband deutscher Wohnungs- und Immobilienunternehmen (GdW),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
European Newspaper Publishers' Association (ENPA),II - In-house lobbyists and trade/business/professional associations,340000,01/12/2016
The Association of Real Estate Funds (AREF),II - In-house lobbyists and trade/business/professional associations,24999,01/09/2016
Bundesverband Holz und Kunststoff,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Brown-Forman Netherlands BV,II - In-house lobbyists and trade/business/professional associations,199999,01/04/2016
CETS - European Committee for Surface Treatment aisbl (CETS),"IV - Think tanks, research and academic institutions",15000,01/12/2017
Danish Energy / Dansk Energi (DE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
European Development Finance Institutions (EDFI),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
TOPTICA Photonics AG (TOPTICA),II - In-house lobbyists and trade/business/professional associations,9999,01/09/2016
International Federation of Industrial Energy Consumers (IFIEC Europe),III - Non-governmental organisations,199999,01/12/2017
KEA European Affairs (KEA),I - Professional consultancies/law firms/self-employed consultants,299999,01/12/2016
Gestamp Automoci„n,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Investment & Life Assurance Group Limited (ILAG),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
International Association of Legal Protection Insurance - RIAD (RIAD),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Edison Spa (EDS),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Verband ƒsterreichischer Zeitungen (VƒZ),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
Belarus EU Business Council (BEUBC),III - Non-governmental organisations,9999,01/12/2016
CEBRE - Czech Business Representation to the EU in Brussels (CEBRE),II - In-house lobbyists and trade/business/professional associations,110000,01/12/2016
"Bundesverband Wirtschaft, Verkehr und Logistik e.V. (BWVL)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Association Française des Tr_soriers d'Entreprise (AFTE),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
WEEE Forum aisbl (WEEE Forum),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Association Française de la Gestion financière (AFG),III - Non-governmental organisations,799999,01/12/2015
Morgan Stanley (MS),II - In-house lobbyists and trade/business/professional associations,899999,01/12/2016
Deutscher Notarverein (DNotV),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Baillie Gifford & Co (BG),II - In-house lobbyists and trade/business/professional associations,9999,01/04/2016
Sony Europe Limited (Sony),II - In-house lobbyists and trade/business/professional associations,299999,01/03/2017
International Securities Lending Association (ISLA),II - In-house lobbyists and trade/business/professional associations,899999,01/12/2016
Association of British Insurers (ABI),II - In-house lobbyists and trade/business/professional associations,1749000,01/12/2015
European Association of Electrical Contractors (AIE),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
AfW - Bundesverband Finanzdienstleistung e.V.,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
VOTUM Verband Unabh_ngiger Finanzdienstleistungs-Unternehmen in Europa e. V.,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Bundesverband Mineralische Rohstoffe e. V. (MIRO),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
F_d_ration belge des industries chimiques et des sciences de la vie (essenscia),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2015
Deutsche Sozialversicherung Arbeitsgemeinschaft Europa (DSVAE),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",699999,01/12/2016
Stiftung Pro Wettbewerb gAG,III - Non-governmental organisations,9999,01/12/2017
EU Ukraine Business Council aisbl (EUUBC),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Open Society European Policy Institute (OSEPI),III - Non-governmental organisations,1749000,01/12/2017
Federazione Nazionale Commercio Macchine (ASCOMAC),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Lietuvos moksl_ akademija (LMA),"IV - Think tanks, research and academic institutions",899999,01/12/2016
Gesamtverband der Deutschen Versicherungswirtschaft e.V. (GDV),II - In-house lobbyists and trade/business/professional associations,2749000,01/12/2016
Baloch Voice Association (BVA),III - Non-governmental organisations,56800,01/12/2016
Federation of European Publishers (FEP-FEE),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
European Forest Nurseries Association (EFNA),II - In-house lobbyists and trade/business/professional associations,9999,01/05/2017
European Writing Instrument Manufacturer's Association (EWIMA),II - In-house lobbyists and trade/business/professional associations,3000,01/12/2017
"Bundesverband Informationswirtschaft, Telekommunikation und neue Medien e. V. (Bitkom)",II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Chartered Institution of Water and Environmental Management (CIWEM),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
E-Energy Market BV (E-EM),I - Professional consultancies/law firms/self-employed consultants,6000,01/12/2016
Deutscher Feuerwehrverband (DFV),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
"CLECAT - European association for forwarding, transport, logistic and Customs services (CLECAT)",II - In-house lobbyists and trade/business/professional associations,599999,01/12/2015
Scottish Fishermen's Federation (SFF),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2015
North Western Waters Advisory Council (NWWAC),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",399999,01/09/2016
Euro Coop - European Community of Consumer Co-operatives (EURO COOP),III - Non-governmental organisations,499999,01/12/2017
Verband der Internationalen Kraftfahrzeughersteller e.V. (VDIK),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Volontari d'Europa - Onlus (V.d.E.),III - Non-governmental organisations,9999,01/12/2015
Nordic Financial Unions (NFU),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
European & International Booksellers Federation (EIBF),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
European Landscape Contractors Association (ELCA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
BRITA GmbH,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
Inland Navigation Europe (INE),III - Non-governmental organisations,99999,01/12/2016
Hospodˆ_skˆ komora _esk_ republiky (HK _R),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Bundesverband deutscher Banken e.V. (Bankenverband),II - In-house lobbyists and trade/business/professional associations,2749000,01/12/2016
association of television and radio sales houses (egta),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Interessengemeinschaft Deutscher Versicherungsmakler e.V. (IGVM e.V.),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Community of European Railway and Infrastructure Companies (CER),II - In-house lobbyists and trade/business/professional associations,1249999,01/12/2016
World Federation of Advertisers (WFA),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2016
Bundesarbeitsgemeinschaft Deutscher Kommunalversicherer (BADK),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",115000,01/12/2017
European Atomic Forum (FORATOM),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Taxpayers Association of Europe (TAE),III - Non-governmental organisations,9999,01/12/2015
THE TEACHER ACADEMY FOUNDATION (ORAV),III - Non-governmental organisations,24999,01/12/2016
Verband der deutschen Rauchtabakindustrie e.V. (VdR),II - In-house lobbyists and trade/business/professional associations,24999,01/03/2017
Bundesverband Praktizierender Tier_rzte e. V. (bpt),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
OMNICONSUL - Public Affairs Consultancy Lda (OMNICONSUL),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2017
Council of Geopolitics (CoG),"IV - Think tanks, research and academic institutions",9999,01/12/2017
Electrolux Home Products,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Call Center Verband Deutschland e. V. (CCV) (CCV e. V.),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Deutscher Verband der Aromenindustrie e. V. (DVAI),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Strukton Rail (SR),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Movimento Nazionale Liberi Farmacisti (MNLF),III - Non-governmental organisations,9999,01/12/2016
evofenedex the Dutch Shippers' organization (evofenedex),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
MERCADONA SA,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
MISSAGLIAEASSOCIATI (MEA),I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2015
Groupe GTI,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
METALS FOR BUILDINGS (METALS FOR BUILDINGS),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
"Assuralia, beroepsvereniging van verzekeringsondernemingen (Assuralia)",II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
European Container Glass Federation (FEVE),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
NGVA Europe (NGVA Europe),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
European Association for the Education of Adults (EAEA),III - Non-governmental organisations,280000,01/12/2016
ASSOCIAZIONE INTERMEDIARI SPECIALISTI DEL CREDITO (A.I.S.C.),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",4500,01/12/2017
Humanitarian Crises Secretariat,III - Non-governmental organisations, -   ,
F_d_ration Nationale de la Mutualit_ Française (FNMF),II - In-house lobbyists and trade/business/professional associations,400000,01/12/2016
European Association of Environmental and Resource Economists (EAERE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Landbrug & FËdevarer - Danish Agriculture and Food Council (DAFC),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
European Federation of Waste Management and Environmental Services (FEAD),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Association of European Border Regions (AEBR-AGEG-ARFE),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",399999,01/12/2015
PensionsEurope,II - In-house lobbyists and trade/business/professional associations,699999,01/12/2016
Caritas Europa,III - Non-governmental organisations,1249999,01/12/2016
Syndicat National des Labels Avicoles de France (SYNALAF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
ƒsterreichische Notariatskammer (ƒNK),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Finnish Transport and Logistics (SKAL),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
EUREC- The association of European Renewable Energy Research Centres (EUREC),II - In-house lobbyists and trade/business/professional associations,1710,01/12/2016
SANOFI GENZYME (Genzyme),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
Unie van Erkende Sociale Secretariaten (USS),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
The Smoke Free Partnership (SFP),III - Non-governmental organisations,199999,01/12/2016
European Federation of Museum & Tourist Railways (FEDECRAIL),III - Non-governmental organisations,49999,01/12/2017
Accountancy Europe,II - In-house lobbyists and trade/business/professional associations,2200000,01/12/2016
PIOTR WIERZCHOWSKI (Piotr Wierzchowski),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
DIE FÊHRUNGSKRóFTE - DFK (DFK),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
European Association for Panels and Profiles (PPA-Europe),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Council of European Dentists (CED),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
bpost NV,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
HRVATSKA DISKOGRAFSKA UDRUGA (HDU),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
AIM European Brands Association (AIM),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Tetra Pak International,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
Federation of European Direct and Interactive Marketing (FEDMA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
Bundesarbeitsgemeinschaft der Freien Wohlfahrtspflege e.V. (BAGFW),III - Non-governmental organisations,199999,01/12/2016
Entreprises du Traiteur Frais (ETF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Asociaci„n Multisectorial de la Informaci„n (Asedie),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Ferratum Oyj,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Arconic Europe,II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
BioRefining Alliance (BRA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Suomen luonnonsuojelululiiton Uudenmaan piiri (SLL-UP),III - Non-governmental organisations,9999,01/12/2016
International Emissions Trading Association (IETA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Giovanni Battista Bastianelli (GBB),I - Professional consultancies/law firms/self-employed consultants, -   ,
NB-Med (NB-Med),III - Non-governmental organisations,9999,01/03/2017
Bundesvereinigung der Deutschen Arbeitgeberverb_nde e.V. (BDA),II - In-house lobbyists and trade/business/professional associations,1749000,01/12/2016
LOGOS Public Affairs,I - Professional consultancies/law firms/self-employed consultants,499999,01/12/2015
European Association of Real Estate Professions (CEPI),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Norsk Industri / Federation of Norwegian Industries (9434415651-11),II - In-house lobbyists and trade/business/professional associations,199999,01/11/2016
ExxonMobil Petroleum & Chemical (EMPC),II - In-house lobbyists and trade/business/professional associations,4749000,01/12/2016
FERROVIE DELLO STATO ITALIANE S.p.A. (FSI),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
Danish Transport and Logistics Association (DTL),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Confederation of European Waste-to-Energy Plants (CEWEP),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2016
D_l_gation des Barreaux de France (DBF),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Unilever,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
EU Specialty Food Ingredients,II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
Nets A/S (Nets),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
BP p.l.c. (BP),II - In-house lobbyists and trade/business/professional associations,2999999,01/12/2016
Febelfin,II - In-house lobbyists and trade/business/professional associations,699999,01/12/2016
"Service de lutte contre la pauvret_, la pr_carit_ et l'exclusion sociale","IV - Think tanks, research and academic institutions",599999,01/12/2016
Bundesverband der Deutschen Industrie e.V. (BDI),II - In-house lobbyists and trade/business/professional associations,2999999,01/12/2016
Association Française des March_s Financiers (AMAFI),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Global Wind Energy Council (GWEC),III - Non-governmental organisations,9999,01/12/2015
Deutsche Kinderhilfe e.V.,III - Non-governmental organisations,9999,01/12/2016
WirtschaftsVereinigung Metalle (WVMetalle),II - In-house lobbyists and trade/business/professional associations,500000,01/12/2015
Eurogroup for Wildlife and Laboratory Animals (EWLA),III - Non-governmental organisations,24999,01/12/2015
Ulster Farmers' Union (UFU),III - Non-governmental organisations,99999,01/03/2017
TOTAL S.A.,II - In-house lobbyists and trade/business/professional associations,1999999,01/12/2017
Altroconsumo (AC),III - Non-governmental organisations,9999,01/12/2015
Bureau Europ_en des Unions de Consommateurs (BEUC),III - Non-governmental organisations,2499999,01/12/2016
ASOCIACIÓN EMPRESARIAL EÓLICA (AEE),II - In-house lobbyists and trade/business/professional associations,10500,01/12/2015
European Healthcare Distribution Association (GIRP),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Seldia - The European Direct Selling Association (Seldia),III - Non-governmental organisations,533000,01/12/2016
CYPRUS CHAMBER OF COMMERCE AND INDUSTRY (CCCI),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Association Belge des Consommateurs Test-Achats / Belgische Verbruikersunie Test Aankoop (Test-Achats),III - Non-governmental organisations,99999,01/12/2017
Scotch Whisky Association (SWA),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2016
EPIA SolarPower Europe,II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
ConocoPhillips (COP),II - In-house lobbyists and trade/business/professional associations,199999,01/01/2016
COOP de France (COOP de France),II - In-house lobbyists and trade/business/professional associations,199999,01/06/2016
Finland Chamber of Commerce (Keskuskauppakamari),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Kindernothilfe (KNH),III - Non-governmental organisations,9999,01/12/2016
Dr.Elisabeth Berger bc - bergercommunications,I - Professional consultancies/law firms/self-employed consultants,4000,01/12/2017
NRW.BANK,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
"F_d_ration Label Rouge, IG et STG (FedeLIS)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Verband der Verarbeitungsbetriebe Tierischer Nebenprodukte e.V. (VVTN),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Deutsche Bahn AG (DB),II - In-house lobbyists and trade/business/professional associations,699999,01/12/2016
Verband der Privaten Krankenversicherung e.V. (PKV),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
European Rural Poultry Association (ERPA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Universit_ Popolare LUniASM - Libera Universit_ Telematica Arti e Scienze Moderne (UP - LUNiASM),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Confederation of Danish Industry (DI),II - In-house lobbyists and trade/business/professional associations,1249999,01/12/2016
Eurogroup for Animals,III - Non-governmental organisations,199999,01/12/2016
"EUROPEAN MAR II, LDA. & COMANDITA (ZONA FRANCA DA MADEIRA) (Euromar)",I - Professional consultancies/law firms/self-employed consultants,1500000,01/12/2016
Federazione Nazionale dell'Industria Chimica italiana (FEDERCHIMICA),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
McD Europe Franchising LLC (MEF LLC),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Greenpeace European Unit,III - Non-governmental organisations,594233,01/12/2016
